BOTTLE,20240829CCHHYDRO
33RR20220613  ,P02E       ,901     ,  1,3          ,3          ,2,20220615,0046,  24.3195,-159.2779,     4555,    203.0,2,  18.5737,2,  34.8726,2,     -999,9,    189.3,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  18.6125,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0159,1,   4.6844,1,     -999,9,20220615,0101,  24.3195,-159.2780,-999          ,9,-999          ,1,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,2          ,2          ,2,20220615,0046,  24.3195,-159.2779,     4555,    506.7,2,   7.1237,2,  34.0522,2,     -999,9,     98.3,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   7.1249,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0128,1,   4.6999,1,     -999,9,20220615,0056,  24.3195,-159.2779,-999          ,9,-999          ,9,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,1          ,1          ,2,20220615,0046,  24.3195,-159.2779,     4555,   1010.5,2,   4.0975,2,  34.4654,2,     -999,9,     46.1,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   4.0989,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.7040,1,     -999,9,20220615,0046,  24.3195,-159.2780,-999          ,9,-999          ,1,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  2,34         ,34         ,2,20220615,0313,  24.3194,-159.2779,     4555,      4.2,2,  26.0524,2,  34.9954,3,     -999,9,    200.3,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0135,1,   4.6262,1,     -999,9,20220615,0344,  24.3194,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  2,32         ,32         ,2,20220615,0313,  24.3194,-159.2779,     4555,      4.3,2,  26.0499,2,  34.9960,3,     -999,9,    200.0,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0135,1,   4.6264,1,     -999,9,20220615,0344,  24.3194,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  2,30         ,30         ,2,20220615,0313,  24.3194,-159.2779,     4555,      4.3,2,  26.0493,2,  34.9962,3,     -999,9,    200.0,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  26.0507,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0135,1,   4.6268,1,     -999,9,20220615,0344,  24.3194,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  2,36         ,36         ,2,20220615,0313,  24.3194,-159.2779,     4555,      4.4,2,  26.0515,2,  34.9957,3,     -999,9,    200.1,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0135,1,   4.6279,1,     -999,9,20220615,0344,  24.3194,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  2,31         ,31         ,2,20220615,0313,  24.3194,-159.2779,     4555,      4.6,2,  26.0479,2,  34.9965,3,     -999,9,    199.1,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0136,1,   4.6287,1,     -999,9,20220615,0344,  24.3194,-159.2780,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  2,35         ,35         ,2,20220615,0313,  24.3194,-159.2779,     4555,      4.6,2,  26.0513,2,  34.9957,3,     -999,9,    200.4,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0135,1,   4.6279,1,     -999,9,20220615,0344,  24.3194,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  2,33         ,33         ,2,20220615,0313,  24.3194,-159.2779,     4555,      4.7,2,  26.0511,2,  34.9958,3,     -999,9,    200.1,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0135,1,   4.6254,1,     -999,9,20220615,0344,  24.3194,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  2,28         ,28         ,2,20220615,0313,  24.3194,-159.2779,     4555,     43.2,2,  25.0452,2,  35.0423,3,     -999,9,    205.6,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0142,1,   4.6344,1,     -999,9,20220615,0340,  24.3195,-159.2780,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  2,27         ,27         ,2,20220615,0313,  24.3194,-159.2779,     4555,     43.9,2,  25.0407,2,  35.0410,3,     -999,9,    205.6,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0137,1,   4.6353,1,     -999,9,20220615,0340,  24.3195,-159.2780,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  2,26         ,26         ,2,20220615,0313,  24.3194,-159.2779,     4555,     44.2,2,  25.0338,2,  35.0379,3,     -999,9,    204.9,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  25.0409,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0135,1,   4.6336,1,     -999,9,20220615,0340,  24.3195,-159.2780,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  2,29         ,29         ,2,20220615,0313,  24.3194,-159.2779,     4555,     44.2,2,  25.0367,2,  35.0395,3,     -999,9,    205.6,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0135,1,   4.6346,1,     -999,9,20220615,0340,  24.3195,-159.2780,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  2,24         ,24         ,2,20220615,0313,  24.3194,-159.2779,     4555,     78.4,2,  24.0331,2,  35.1272,3,     -999,9,    205.8,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0171,1,   4.6375,1,     -999,9,20220615,0338,  24.3195,-159.2780,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  2,25         ,25         ,2,20220615,0313,  24.3194,-159.2779,     4555,     78.7,2,  24.0588,2,  35.1461,3,     -999,9,    204.0,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0174,1,   4.6381,1,     -999,9,20220615,0338,  24.3195,-159.2780,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  2,23         ,23         ,2,20220615,0313,  24.3194,-159.2779,     4555,     79.5,2,  24.0828,2,  35.1581,3,     -999,9,    205.6,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0171,1,   4.6396,1,     -999,9,20220615,0338,  24.3195,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  2,22         ,22         ,2,20220615,0313,  24.3194,-159.2779,     4555,     79.8,2,  24.1047,2,  35.1688,3,     -999,9,    205.1,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  24.0686,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0171,1,   4.6391,1,     -999,9,20220615,0338,  24.3195,-159.2780,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  2,20         ,20         ,2,20220615,0313,  24.3194,-159.2779,     4555,    102.9,2,  23.3462,2,  35.1808,3,     -999,9,    204.2,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0191,1,   4.6501,1,     -999,9,20220615,0336,  24.3195,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  2,19         ,19         ,2,20220615,0313,  24.3194,-159.2779,     4555,    102.9,2,  23.3448,2,  35.1816,3,     -999,9,    204.0,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0200,1,   4.6502,1,     -999,9,20220615,0336,  24.3195,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  2,21         ,21         ,2,20220615,0313,  24.3194,-159.2779,     4555,    102.9,2,  23.3440,2,  35.1810,3,     -999,9,    203.8,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  23.3406,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0194,1,   4.6504,1,     -999,9,20220615,0336,  24.3195,-159.2780,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  2,17         ,17         ,2,20220615,0313,  24.3194,-159.2779,     4555,    103.8,2,  23.3387,2,  35.1812,3,     -999,9,    203.6,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  23.3403,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0201,1,   4.6511,1,     -999,9,20220615,0336,  24.3195,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  2,18         ,18         ,2,20220615,0313,  24.3194,-159.2779,     4555,    104.2,2,  23.3379,2,  35.1823,3,     -999,9,    204.1,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0189,1,   4.6494,1,     -999,9,20220615,0336,  24.3195,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  2,16         ,16         ,2,20220615,0313,  24.3194,-159.2779,     4555,    153.4,2,  21.5909,2,  35.1703,3,     -999,9,    194.9,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0253,1,   4.6648,1,     -999,9,20220615,0332,  24.3195,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  2,15         ,15         ,2,20220615,0313,  24.3194,-159.2779,     4555,    153.9,2,  21.5734,2,  35.1706,3,     -999,9,    193.6,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0220,1,   4.6663,1,     -999,9,20220615,0332,  24.3195,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  2,13         ,13         ,2,20220615,0313,  24.3194,-159.2779,     4555,    154.1,2,  21.4990,2,  35.1574,3,     -999,9,    193.9,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  21.5347,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0242,1,   4.6654,1,     -999,9,20220615,0332,  24.3195,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  2,14         ,14         ,2,20220615,0313,  24.3194,-159.2779,     4555,    154.6,2,  21.4851,2,  35.1574,3,     -999,9,    193.1,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0220,1,   4.6653,1,     -999,9,20220615,0332,  24.3195,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  2,9          ,9          ,2,20220615,0313,  24.3194,-159.2779,     4555,    203.7,2,  19.4239,2,  34.9472,3,     -999,9,    184.1,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  19.4027,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0159,1,   4.6836,1,     -999,9,20220615,0331,  24.3195,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  2,12         ,12         ,2,20220615,0313,  24.3194,-159.2779,     4555,    204.2,2,  19.4167,2,  34.9478,3,     -999,9,    184.1,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0159,1,   4.6838,1,     -999,9,20220615,0331,  24.3195,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  2,11         ,11         ,2,20220615,0313,  24.3194,-159.2779,     4555,    204.7,2,  19.4005,2,  34.9498,3,     -999,9,    186.4,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0147,1,   4.6824,1,     -999,9,20220615,0331,  24.3195,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
